pes_per_path;n_paths;sample_dim;WNS;Outlier
4;1;384;317;No
4;2;384;393;No
4;3;384;59;No
4;4;384;98;No
4;5;384;91;No
6;1;384;372;No
6;2;384;218;No
6;3;384;211;No
8;1;384;535;No
8;2;384;36;No
8;3;384;-23;No
4;1;320;865;No
4;2;320;383;No
4;3;320;486;No
4;4;320;238;No
4;5;320;244;No
4;6;320;78;No
6;1;320;465;No
6;2;320;399;No
6;3;320;283;No
6;4;320;85;No
8;1;320;649;No
8;2;320;380;No
8;3;320;93;No
4;1;448;426;No
4;2;448;149;No
4;3;448;202;No
4;4;448;134;No
6;1;448;25;Si
6;2;448;102;No
6;3;448;196;No
8;1;448;63;No
8;2;448;24;No
4;1;512;74;Si
4;2;512;240;No
4;3;512;218;No
4;4;512;42;No
4;5;512;-347;No
6;1;512;438;No
6;2;512;137;No
6;3;512;207;No
8;1;512;198;No
8;2;512;63;No
8;3;512;-118;No
4;1;640;312;No
4;2;640;67;No
4;3;640;13;No
6;1;640;322;No
6;2;640;146;No
6;3;640;-255;No
8;1;640;114;No
8;2;640;102;No
4;1;768;170;No
4;2;768;60;No
4;3;768;97;No
6;1;768;174;No
6;2;768;138;No
8;1;768;111;No
8;2;768;36;No
30;1;384;139;No
25;1;384;51;No
20;1;384;250;No
15;1;384;200;No
10;1;384;270;No
12;2;384;349;No
15;2;384;-81;No
10.5;2;384;205;No
13.5;2;384;49;No
8.333;3;384;33;No
6.666;3;384;314;Si
5.333;3;384;575;Si
30;1;320;119;No
25;1;320;43;No
20;1;320;363;No
15;1;320;337;No
10;1;320;453;No
12;2;320;273;No
15;2;320;191;No
10.5;2;320;160;No
13.5;2;320;148;No
8.333;3;320;160;No
6.666;3;320;477;Si
5.333;3;320;507;Si
30;1;448;-495;No
25;1;448;116;No
20;1;448;92;No
15;1;448;173;No
10;1;448;235;No
12;2;448;111;No
10.5;2;448;221;No
13.5;2;448;-557;No
8.333;3;448;-41;No
6.666;3;448;436;Si
5.333;3;448;438;Si
25;1;512;7;No
20;1;512;85;No
15;1;512;238;No
10;1;512;196;No
12;2;512;146;No
10.5;2;512;60;No
13.5;2;512;-678;No
20;1;640;90;No
15;1;640;50;No
10;1;640;135;Si
20;1;768;-100;No
15;1;768;50;No
10;1;768;54;No
4;1;896;120;No
4;2;896;57;No
6;1;896;150;No
6;2;896;2;No
8;1;896;130;No
15;1;896;4;No
10;1;896;62;No
4;1;1024;120;No
4;2;1024;61;No
6;1;1024;175;No
6;2;1024;5;No
8;1;1024;41;No
15;1;1024;13;No
10;1;1024;119;No
5;5;384;-249;No
15;2;384;-82;No
7;3;384;92;No
14;2;384;151;No
9;3;384;-92;No
