width;LUTs;FFs;BRAMs
96;4931;8230;2
128;5194;7921;4
160;6203;11497;4
192;5643;10404;4
224;6756;12798;4
256;6956;11230;8
288;12408;22978;8
320;8933;18337;8
352;15668;25371;8
384;7813;16164;8
416;16372;27905;8
448;11646;20935;8
480;16675;30276;8
512;10003;17394;16
544;31599;59337;16
576;20999;40797;16
608;41596;64000;16
640;15935;31600;16
672;42879;68765;16
704;27100;45622;16
736;42784;73435;16
768;11679;27226;16
800;42345;78290;16
832;28080;50511;16
864;43411;83013;16
896;19334;36754;16
928;44269;87698;16
960;29313;55410;16
992;46582;92541;16
1024;16192;29820;32
